Country Name,"Country Code","Series Name","Series Code","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Germany,"DEU","GDP (current US$)","NY.GDP.MKTP.CD","3411261212652.34","3399667820000.01","3749314991050.59","3527143188785.16","3733804649549.03","3889093051023.52","3357585719351.56","3469853463945.53","3690849152517.65","3974443355019.6","3889177589254.9","3887727161914.41","4278503934689.85","4082469490797.68",".."
Germany,"DEU","GDP per capita (current US$)","NY.GDP.PCAP.CD","41650.3678297162","41572.4559481507","46705.8957963353","43855.8544658618","46298.9229177341","48023.8699845462","41103.2564363768","42136.1207907991","44652.5891722719","47939.2782884504","46805.1384334439","46749.4762280016","51426.7503654421","48717.9911402128",".."
Germany,"DEU","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","12.41432","..","..","..","..","12.14919","..","..","..","12.21997","..","..","..",".."
Brazil,"BRA","GDP (current US$)","NY.GDP.MKTP.CD","1666996438681.46","2208837745214.23","2616156223977.47","2465227803011.57","2472819535742.73","2456043727198.85","1802212206904.68","1795693482652.52","2063514977334.32","1916933898038.36","1873288205186.45","1476107231194.11","1649622821885.14","1920095779022.73",".."
Brazil,"BRA","GDP per capita (current US$)","NY.GDP.PCAP.CD","8569.90254736072","11249.2918904352","13200.5562348789","12327.5131013057","12258.5657091866","12071.4044637296","8783.2154236384","8680.73646873878","9896.71889500528","9121.02099480377","8845.32414932264","6923.6999117682","7696.78483012849","8917.67491057495",".."
Brazil,"BRA","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","8.63131","..","..","..","..","8.19602","..","..","..","7.67496","..","..","..",".."
Canada,"CAN","GDP (current US$)","NY.GDP.MKTP.CD","1374625142157.29","1617343367486.26","1793326630174.52","1828366481521.6","1846597421834.98","1805749878439.94","1556508816217.14","1527994741907.43","1649265644244.09","1725329192783.02","1743725183672.52","1655684730000.19","2007472181464.15","2161483369422.01",".."
Canada,"CAN","GDP per capita (current US$)","NY.GDP.PCAP.CD","40876.3101540295","47562.0834253057","52223.696112356","52669.0899632316","52635.1749580433","50955.9983232404","43596.1355365546","42315.6037056806","45129.4292980922","46548.6384108296","46374.1527517191","43562.4358311849","52515.1998350503","55522.445687688",".."
Canada,"CAN","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","10.21275","..","..","..","..","9.91687","..","..","..","9.89647","..","..","..",".."
China,"CHN","GDP (current US$)","NY.GDP.MKTP.CD","5101691124358.41","6087191746738.57","7551545703518.14","8532185381696.43","9570471111847.82","10475624944290.1","11061572618594.8","11233313730288.5","12310491333980.9","13894907857925.9","14279968506242.8","14687744162801","17820459508852.2","17963171479205.3",".."
China,"CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","3832.22745696438","4550.47394361131","5614.3860223103","6300.58217952904","7020.38607424065","7636.0743401587","8016.44559491162","8094.39016730811","8817.04560829162","9905.40638307759","10143.8602205959","10408.7195541075","12617.5051041181","12720.2163182363",".."
China,"CHN","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","5.90146","..","..","..","..","7.34536","..","..","..","5.72525","..","..","..",".."
Japan,"JPN","GDP (current US$)","NY.GDP.MKTP.CD","5289493117993.89","5759071769013.11","6233147172341.35","6272362996105.03","5212328181166.18","4896994405353.29","4444930651964.18","5003677627544.24","4930837369151.42","5040880939324.86","5117993853016.51","5055587093501.59","5034620784584.98","4256410760723.75",".."
Japan,"JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","41308.9968370512","44968.1562349739","48760.0789494211","49145.2804308193","40898.6478964744","38475.3952461838","34960.6393843385","39375.4731620781","38834.0529341227","39751.1330982711","40415.9567649547","40040.7655055923","40058.5373276179","34017.2718075024",".."
Japan,"JPN","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","6.77009","..","..","..","..","6.71821","..","..","..","6.68016","..","..","..",".."
Netherlands,"NLD","GDP (current US$)","NY.GDP.MKTP.CD","871518638049.218","847380859016.668","905270626332.687","838923319919.531","877172824534.512","892167986713.722","765572770634.375","784060430240.08","833869641687.06","914043438179.607","910194347568.626","909793466661.481","1029678338329.44","1009398719033.08",".."
Netherlands,"NLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","52722.2130568997","50999.7451168879","54230.3129029852","50070.1416045904","52198.8975607454","52900.537415323","45193.4032187971","46039.1059284098","48675.2223350213","53044.5324352253","52476.2732533327","52162.5701150406","58727.8705471475","57025.01245598",".."
Netherlands,"NLD","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","10.19669","..","..","..","..","9.3835","..","..","..","9.30324","..","..","..",".."
Paraguay,"PRY","GDP (current US$)","NY.GDP.MKTP.CD","22355151161.994","27260886405.2263","33756238766.5","33271921136.315","38501122141.4241","40377929295.6419","36211447840.0971","36089700222.9461","38997129473.5558","40225448340.6322","37925338329.1494","35432178068.1814","39950899938.7482","41722295229.2279",".."
Paraguay,"PRY","GDP per capita (current US$)","NY.GDP.PCAP.CD","3920.18607071017","4725.72634101583","5776.2818479967","5617.10491786787","6410.81470278733","6629.41699277341","5861.40189546648","5759.04219789251","6136.0583014952","6242.96145417898","5807.83879407975","5353.34806456279","5959.44179393627","6153.05565720044",".."
Paraguay,"PRY","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","6.37117","..","..","..","..","5.41486","..","..","..","5.60061","..","..","..",".."
Russian Federation,"RUS","GDP (current US$)","NY.GDP.MKTP.CD","1222645900055.7","1524916715223.95","2045922753398.04","2208293553878.42","2292470078346.22","2059241589895.01","1363482182197.71","1276786350881.14","1574199360089","1657328773461.31","1693115002708.32","1493075894362.14","1836892075547.52","2240422427458.58",".."
Russian Federation,"RUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","8562.82421875","10674.990234375","14311.064453125","15420.859375","15974.6220703125","14095.646484375","9313.021484375","8704.89453125","10720.33203125","11287.3544921875","11536.2587890625","10194.44140625","12532.05078125","15270.7060546875",".."
Russian Federation,"RUS","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","13.75669","..","..","..","..","11.63634","..","..","..","10.42279","..","..","..",".."
United Kingdom,"GBR","GDP (current US$)","NY.GDP.MKTP.CD","2412840006231.5","2485482596184.71","2663805834828.07","2707089726614.64","2784853502534.29","3064708247921.43","2927911140916.73","2689106566899.61","2680148052335.3","2871340347581.79","2851407164907.81","2697806592293.86","3141506156618.7","3089072722400.14",".."
United Kingdom,"GBR","GDP per capita (current US$)","NY.GDP.PCAP.CD","38744.131693043","39598.957119545","42109.6418795749","42497.3404974322","43426.2981405143","47439.6165895125","44964.3911437292","40985.2351382417","40572.1214823783","43203.8141057739","42662.5353740311","40217.0090116986","46869.759058411","46125.2557513568",".."
United Kingdom,"GBR","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","10.95399","..","..","..","..","10.51561","..","..","..","10.8168","..","..","..",".."
United States,"USA","GDP (current US$)","NY.GDP.MKTP.CD","14478064934000","15048964444000","15599728123000","16253972230000","16843190993000","17550680174000","18206020741000","18695110842000","19477336549000","20533057312000","21380976119000","21060473613000","23315080560000","25439700000000",".."
United States,"USA","GDP per capita (current US$)","NY.GDP.PCAP.CD","47194.9433547336","48650.6431283336","50065.9665041742","51784.4185738837","53291.1276891406","55123.8497869046","56762.7294515989","57866.7449341091","59907.754260885","62823.309438197","65120.3946628653","63528.6343027508","70219.472454115","76329.5822652029",".."
United States,"USA","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","..","9.34309","..","..","..","..","9.48589","..","..","..","9.56731","..","..","..",".."